task,distortion,severity,snr_db,clean,distorted,enhanced,finetuned,finetuned_enh,degradation,recovery_enhance,recovery_finetune,recovery_combined
detection,gauss_noise,high,9.976,0.3521,0.0974,0.1538,0.1865,0.1639,-0.2547,0.0564,0.0891,0.0665
detection,gauss_noise,low,19.487,0.3521,0.2927,0.2882,0.2663,0.2443,-0.0594,-0.0045,-0.0264,-0.0484
detection,gauss_noise,med,13.908,0.3521,0.2009,0.2135,0.2333,0.2066,-0.1512,0.0126,0.0324,0.0057
detection,motion_blur,high,15.612,0.3521,0.0588,0.1317,0.1144,0.1745,-0.2933,0.0729,0.0556,0.1157
detection,motion_blur,low,20.816,0.3521,0.2942,0.3336,0.2589,0.2746,-0.0579,0.0394,-0.0353,-0.0196
detection,motion_blur,med,17.691,0.3521,0.1571,0.2567,0.2016,0.2398,-0.195,0.0996,0.0445,0.0827
detection,salt_pepper,high,8.209,0.3521,0.0785,0.3209,0.2025,0.2626,-0.2736,0.2424,0.124,0.1841
detection,salt_pepper,low,18.743,0.3521,0.284,0.3386,0.2734,0.2692,-0.0681,0.0546,-0.0106,-0.0148
detection,salt_pepper,med,11.847,0.3521,0.167,0.3355,0.2452,0.2672,-0.1851,0.1685,0.0782,0.1002
features,gauss_noise,high,9.976,1.0,0.6161,0.5376,,,-0.3839,-0.0785,,
features,gauss_noise,low,19.487,1.0,0.8344,0.8001,,,-0.1656,-0.0343,,
features,gauss_noise,med,13.908,1.0,0.7307,0.6696,,,-0.2693,-0.0611,,
features,motion_blur,high,15.612,1.0,0.1969,0.4765,,,-0.8031,0.2796,,
features,motion_blur,low,20.816,1.0,0.6431,0.7811,,,-0.3569,0.138,,
features,motion_blur,med,17.691,1.0,0.3993,0.626,,,-0.6007,0.2267,,
features,salt_pepper,high,8.209,1.0,0.3261,0.6617,,,-0.6739,0.3356,,
features,salt_pepper,low,18.743,1.0,0.5539,0.7049,,,-0.4461,0.151,,
features,salt_pepper,med,11.847,1.0,0.404,0.6921,,,-0.596,0.2881,,
keypoints,gauss_noise,high,9.976,0.6574,0.3692,0.316,,,-0.2882,-0.0532,,
keypoints,gauss_noise,low,19.487,0.6574,0.5899,0.5585,,,-0.0675,-0.0314,,
keypoints,gauss_noise,med,13.908,0.6574,0.4891,0.4413,,,-0.1683,-0.0478,,
keypoints,motion_blur,high,15.612,0.6574,0.1586,0.3874,,,-0.4988,0.2288,,
keypoints,motion_blur,low,20.816,0.6574,0.5775,0.6203,,,-0.0799,0.0428,,
keypoints,motion_blur,med,17.691,0.6574,0.3856,0.5238,,,-0.2718,0.1382,,
keypoints,salt_pepper,high,8.209,0.6574,0.3476,0.598,,,-0.3098,0.2504,,
keypoints,salt_pepper,low,18.743,0.6574,0.5896,0.6231,,,-0.0678,0.0335,,
keypoints,salt_pepper,med,11.847,0.6574,0.4381,0.6143,,,-0.2193,0.1762,,
segmentation,gauss_noise,high,9.976,0.4097,0.2091,0.1626,,,-0.2006,-0.0465,,
segmentation,gauss_noise,low,19.487,0.4097,0.3593,0.3165,,,-0.0504,-0.0428,,
segmentation,gauss_noise,med,13.908,0.4097,0.2942,0.2396,,,-0.1155,-0.0546,,
segmentation,motion_blur,high,15.612,0.4097,0.123,0.2043,,,-0.2867,0.0813,,
segmentation,motion_blur,low,20.816,0.4097,0.3538,0.3849,,,-0.0559,0.0311,,
segmentation,motion_blur,med,17.691,0.4097,0.2305,0.3114,,,-0.1792,0.0809,,
segmentation,salt_pepper,high,8.209,0.4097,0.1054,0.3485,,,-0.3043,0.2431,,
segmentation,salt_pepper,low,18.743,0.4097,0.2897,0.3779,,,-0.12,0.0882,,
segmentation,salt_pepper,med,11.847,0.4097,0.1501,0.3734,,,-0.2596,0.2233,,
