image_id,file_name,distortion,severity,snr_db,var,amount,ksize,angle
139,000000000139.jpg,gauss_noise,low,18.8928,179.32,,,
632,000000000632.jpg,gauss_noise,low,14.0728,286.94,,,
724,000000000724.jpg,gauss_noise,low,19.2025,182.7,,,
776,000000000776.jpg,gauss_noise,low,16.7031,203.27,,,
1425,000000001425.jpg,gauss_noise,low,19.8513,291.17,,,
1532,000000001532.jpg,gauss_noise,low,21.1891,167.43,,,
1818,000000001818.jpg,gauss_noise,low,23.4592,118.69,,,
2431,000000002431.jpg,gauss_noise,low,21.644,119.81,,,
2923,000000002923.jpg,gauss_noise,low,18.6242,259.48,,,
3255,000000003255.jpg,gauss_noise,low,21.1838,213.83,,,
3501,000000003501.jpg,gauss_noise,low,19.5564,266.06,,,
3661,000000003661.jpg,gauss_noise,low,19.5205,237.87,,,
4495,000000004495.jpg,gauss_noise,low,17.3964,276.64,,,
5060,000000005060.jpg,gauss_noise,low,19.2833,183.94,,,
5503,000000005503.jpg,gauss_noise,low,18.7137,109.98,,,
5529,000000005529.jpg,gauss_noise,low,23.2966,151.99,,,
5992,000000005992.jpg,gauss_noise,low,18.9257,147.69,,,
6763,000000006763.jpg,gauss_noise,low,16.1472,158.99,,,
6818,000000006818.jpg,gauss_noise,low,22.2596,120.68,,,
6954,000000006954.jpg,gauss_noise,low,20.3342,259.73,,,
7088,000000007088.jpg,gauss_noise,low,20.1237,299.38,,,
7108,000000007108.jpg,gauss_noise,low,17.679,292.51,,,
7386,000000007386.jpg,gauss_noise,low,16.2089,297.87,,,
7795,000000007795.jpg,gauss_noise,low,18.4138,277.83,,,
7816,000000007816.jpg,gauss_noise,low,20.3683,156.57,,,
9378,000000009378.jpg,gauss_noise,low,17.921,175.66,,,
9400,000000009400.jpg,gauss_noise,low,15.9153,239.2,,,
9769,000000009769.jpg,gauss_noise,low,18.6796,262.6,,,
9914,000000009914.jpg,gauss_noise,low,19.3501,148.55,,,
10092,000000010092.jpg,gauss_noise,low,20.7926,140.4,,,
10977,000000010977.jpg,gauss_noise,low,24.8089,123.62,,,
10995,000000010995.jpg,gauss_noise,low,20.5635,107.97,,,
11122,000000011122.jpg,gauss_noise,low,20.188,181.16,,,
11699,000000011699.jpg,gauss_noise,low,16.3229,292.86,,,
11760,000000011760.jpg,gauss_noise,low,16.7319,216.88,,,
12120,000000012120.jpg,gauss_noise,low,17.3516,268.86,,,
12280,000000012280.jpg,gauss_noise,low,19.1494,277.37,,,
12576,000000012576.jpg,gauss_noise,low,22.1612,116.6,,,
12667,000000012667.jpg,gauss_noise,low,23.2126,103.71,,,
13659,000000013659.jpg,gauss_noise,low,17.5842,218.48,,,
13729,000000013729.jpg,gauss_noise,low,19.4428,223.02,,,
13923,000000013923.jpg,gauss_noise,low,21.8374,281.9,,,
14007,000000014007.jpg,gauss_noise,low,20.1508,185.82,,,
15079,000000015079.jpg,gauss_noise,low,14.7119,253.48,,,
15254,000000015254.jpg,gauss_noise,low,17.3961,218.92,,,
15338,000000015338.jpg,gauss_noise,low,20.3431,172.64,,,
15517,000000015517.jpg,gauss_noise,low,20.1227,255.31,,,
15956,000000015956.jpg,gauss_noise,low,17.8409,230.91,,,
16249,000000016249.jpg,gauss_noise,low,17.353,233.83,,,
16451,000000016451.jpg,gauss_noise,low,19.5518,291.08,,,
16502,000000016502.jpg,gauss_noise,low,24.5848,105.84,,,
17031,000000017031.jpg,gauss_noise,low,17.5912,297.72,,,
17178,000000017178.jpg,gauss_noise,low,18.0273,222.32,,,
17207,000000017207.jpg,gauss_noise,low,17.565,280.62,,,
17379,000000017379.jpg,gauss_noise,low,22.3774,113.85,,,
17905,000000017905.jpg,gauss_noise,low,19.9531,157.76,,,
18380,000000018380.jpg,gauss_noise,low,19.6366,225.08,,,
18519,000000018519.jpg,gauss_noise,low,21.1526,176.57,,,
19924,000000019924.jpg,gauss_noise,low,24.2712,155.67,,,
20247,000000020247.jpg,gauss_noise,low,20.0511,243.96,,,
21167,000000021167.jpg,gauss_noise,low,14.198,258.8,,,
21604,000000021604.jpg,gauss_noise,low,14.3289,143.14,,,
21879,000000021879.jpg,gauss_noise,low,19.9676,254.11,,,
22396,000000022396.jpg,gauss_noise,low,21.4544,160.07,,,
22479,000000022479.jpg,gauss_noise,low,20.1343,197.8,,,
