task,variant,distortion,severity,snr_db,metric,value
detection,distorted,gauss_noise,high,10.061,mAP,0.1022
detection,enhanced,gauss_noise,high,10.061,mAP,0.1166
detection,finetuned,gauss_noise,high,10.061,mAP,0.2176
detection,distorted,gauss_noise,low,19.607,mAP,0.3009
detection,enhanced,gauss_noise,low,19.607,mAP,0.2879
detection,finetuned,gauss_noise,low,19.607,mAP,0.2661
detection,distorted,gauss_noise,med,13.909,mAP,0.2067
detection,enhanced,gauss_noise,med,13.909,mAP,0.215
detection,finetuned,gauss_noise,med,13.909,mAP,0.2535
detection,distorted,motion_blur,high,15.875,mAP,0.0653
detection,enhanced,motion_blur,high,15.875,mAP,0.0612
detection,finetuned,motion_blur,high,15.875,mAP,0.044
detection,distorted,motion_blur,low,21.125,mAP,0.3004
detection,enhanced,motion_blur,low,21.125,mAP,0.2918
detection,finetuned,motion_blur,low,21.125,mAP,0.2025
detection,distorted,motion_blur,med,17.993,mAP,0.1714
detection,enhanced,motion_blur,med,17.993,mAP,0.1605
detection,finetuned,motion_blur,med,17.993,mAP,0.1138
detection,distorted,salt_pepper,high,8.255,mAP,0.0766
detection,enhanced,salt_pepper,high,8.255,mAP,0.2878
detection,finetuned,salt_pepper,high,8.255,mAP,0.1633
detection,distorted,salt_pepper,low,18.793,mAP,0.2779
detection,enhanced,salt_pepper,low,18.793,mAP,0.3318
detection,finetuned,salt_pepper,low,18.793,mAP,0.2213
detection,distorted,salt_pepper,med,11.893,mAP,0.1579
detection,enhanced,salt_pepper,med,11.893,mAP,0.3139
detection,finetuned,salt_pepper,med,11.893,mAP,0.1924
detection,clean,,,,mAP,0.3625
features,distorted,gauss_noise,high,10.061,match_ratio,0.6084
features,enhanced,gauss_noise,high,10.061,match_ratio,0.6073
features,distorted,gauss_noise,low,19.607,match_ratio,0.8173
features,enhanced,gauss_noise,low,19.607,match_ratio,0.7493
features,distorted,gauss_noise,med,13.909,match_ratio,0.7184
features,enhanced,gauss_noise,med,13.909,match_ratio,0.7042
features,distorted,motion_blur,high,15.875,match_ratio,0.2003
features,enhanced,motion_blur,high,15.875,match_ratio,0.2501
features,distorted,motion_blur,low,21.125,match_ratio,0.6428
features,enhanced,motion_blur,low,21.125,match_ratio,0.674
features,distorted,motion_blur,med,17.993,match_ratio,0.4013
features,enhanced,motion_blur,med,17.993,match_ratio,0.4442
features,distorted,salt_pepper,high,8.255,match_ratio,0.3298
features,enhanced,salt_pepper,high,8.255,match_ratio,0.6486
features,distorted,salt_pepper,low,18.793,match_ratio,0.553
features,enhanced,salt_pepper,low,18.793,match_ratio,0.6993
features,distorted,salt_pepper,med,11.893,match_ratio,0.408
features,enhanced,salt_pepper,med,11.893,match_ratio,0.6816
features,clean,,,,match_ratio,1.0
keypoints,distorted,gauss_noise,high,10.061,mAP,0.3429
keypoints,enhanced,gauss_noise,high,10.061,mAP,0.3396
keypoints,distorted,gauss_noise,low,19.607,mAP,0.5561
keypoints,enhanced,gauss_noise,low,19.607,mAP,0.4903
keypoints,distorted,gauss_noise,med,13.909,mAP,0.4599
keypoints,enhanced,gauss_noise,med,13.909,mAP,0.4598
keypoints,distorted,motion_blur,high,15.875,mAP,0.1674
keypoints,enhanced,motion_blur,high,15.875,mAP,0.1607
keypoints,distorted,motion_blur,low,21.125,mAP,0.5463
keypoints,enhanced,motion_blur,low,21.125,mAP,0.5411
keypoints,distorted,motion_blur,med,17.993,mAP,0.376
keypoints,enhanced,motion_blur,med,17.993,mAP,0.3682
keypoints,distorted,salt_pepper,high,8.255,mAP,0.3172
keypoints,enhanced,salt_pepper,high,8.255,mAP,0.5152
keypoints,distorted,salt_pepper,low,18.793,mAP,0.5528
keypoints,enhanced,salt_pepper,low,18.793,mAP,0.5669
keypoints,distorted,salt_pepper,med,11.893,mAP,0.4301
keypoints,enhanced,salt_pepper,med,11.893,mAP,0.5509
keypoints,clean,,,,mAP,0.6494
segmentation,distorted,gauss_noise,high,10.061,PQ,0.1964
segmentation,enhanced,gauss_noise,high,10.061,PQ,0.182
segmentation,distorted,gauss_noise,low,19.607,PQ,0.343
segmentation,enhanced,gauss_noise,low,19.607,PQ,0.2911
segmentation,distorted,gauss_noise,med,13.909,PQ,0.2805
segmentation,enhanced,gauss_noise,med,13.909,PQ,0.2393
segmentation,distorted,motion_blur,high,15.875,PQ,0.1155
segmentation,enhanced,motion_blur,high,15.875,PQ,0.118
segmentation,distorted,motion_blur,low,21.125,PQ,0.3347
segmentation,enhanced,motion_blur,low,21.125,PQ,0.3319
segmentation,distorted,motion_blur,med,17.993,PQ,0.2284
segmentation,enhanced,motion_blur,med,17.993,PQ,0.2318
segmentation,distorted,salt_pepper,high,8.255,PQ,0.1111
segmentation,enhanced,salt_pepper,high,8.255,PQ,0.3026
segmentation,distorted,salt_pepper,low,18.793,PQ,0.2839
segmentation,enhanced,salt_pepper,low,18.793,PQ,0.3593
segmentation,distorted,salt_pepper,med,11.893,PQ,0.1576
segmentation,enhanced,salt_pepper,med,11.893,PQ,0.3355
segmentation,clean,,,,PQ,0.4
